File_Acc,Library_Acc,Experiment_Acc,Correlation
ENCFF001GWV,ENCLB978XJK,ENCSR000DPM,0.8865801507478528
ENCFF001GWW,ENCLB746XGY,ENCSR000DPM,0.8734140150429138
ENCFF370QHR,ENCLB149XWT,ENCSR037GKL,0.9329429996527194
ENCFF283CKT,ENCLB149XWT,ENCSR037GKL,0.9379425700297068
ENCFF280ZTK,ENCLB968HCM,ENCSR037GKL,0.7560971469322915
ENCFF990VRH,ENCLB968HCM,ENCSR037GKL,0.6595777989732453
ENCFF751THU,ENCLB750TGR,ENCSR966OUM,0.9423487404334674
ENCFF946GLV,ENCLB750TGR,ENCSR966OUM,0.9387194771912863
ENCFF249BRN,ENCLB750TGR,ENCSR966OUM,0.9383954403995307
ENCFF872ZRR,ENCLB604QJK,ENCSR966OUM,0.1656823659655453
ENCFF619CML,ENCLB604QJK,ENCSR966OUM,0.7506498172603272
ENCFF075VNL,ENCLB604QJK,ENCSR966OUM,0.9419875269515424
ENCFF181ZXL,ENCLB604QJK,ENCSR966OUM,0.9404584694532666
ENCFF108SZV,ENCLB931CII,ENCSR587KPW,0.9369435493588785
ENCFF178CMY,ENCLB931CII,ENCSR587KPW,0.9394325081010463
ENCFF832MLU,ENCLB812DBP,ENCSR587KPW,-0.2441328538395689
ENCFF893CZG,ENCLB812DBP,ENCSR587KPW,0.9413703480238756
ENCFF396XUZ,ENCLB812DBP,ENCSR587KPW,0.27099331585298836
ENCFF327VLS,ENCLB812DBP,ENCSR587KPW,0.7695913066672504
ENCFF977QAN,ENCLB812DBP,ENCSR587KPW,0.9429904631332027
ENCFF262DRC,ENCLB523YDM,ENCSR932XBJ,0.9217590836642136
ENCFF170WYW,ENCLB523YDM,ENCSR932XBJ,0.9242665214817919
ENCFF721FAU,ENCLB523YDM,ENCSR932XBJ,0.9260728506906186
ENCFF650EEY,ENCLB523YDM,ENCSR932XBJ,0.9257014107891184
ENCFF033ZGR,ENCLB198NBV,ENCSR932XBJ,0.9269409965899823
ENCFF168EBN,ENCLB198NBV,ENCSR932XBJ,0.9290765764134361
ENCFF011XXT,ENCLB198NBV,ENCSR932XBJ,0.9249951537049745
ENCFF309EDA,ENCLB897YQD,ENCSR341OQG,0.940364610864211
ENCFF335WHB,ENCLB897YQD,ENCSR341OQG,0.937603432586448
ENCFF424FTI,ENCLB897YQD,ENCSR341OQG,0.9364886364744027
ENCFF458KCH,ENCLB897YQD,ENCSR341OQG,0.9369271238779511
ENCFF279RJT,ENCLB088XOY,ENCSR341OQG,0.9380985214352418
ENCFF587JXK,ENCLB088XOY,ENCSR341OQG,0.13929796955809773
ENCFF337CQI,ENCLB088XOY,ENCSR341OQG,0.9408245424855988
ENCFF500TQS,ENCLB088XOY,ENCSR341OQG,0.14027700010667493
ENCFF000BQY,ENCLB695ABJ,ENCSR000ALA,0.8977435842032259
ENCFF001HKO,ENCLB095XQH,ENCSR000DTF,0.9209362849082102
ENCFF007QNS,ENCLB808LCF,ENCSR560BUE,0.9492878580893837
ENCFF197EAD,ENCLB950AHW,ENCSR560BUE,0.9454033756870016
ENCFF155HGW,ENCLB899WFA,ENCSR193SZD,0.9491851266851893
ENCFF135ZRI,ENCLB899WFA,ENCSR193SZD,0.9473557907723226
ENCFF963WCM,ENCLB899WFA,ENCSR193SZD,0.9479039944048021
ENCFF239FAR,ENCLB899WFA,ENCSR193SZD,0.9516529280171708
ENCFF071ZCM,ENCLB231XXI,ENCSR193SZD,0.952024480682243
ENCFF068HES,ENCLB231XXI,ENCSR193SZD,0.9514128709363615
ENCFF392CDD,ENCLB231XXI,ENCSR193SZD,0.9530841404225874
ENCFF520HBX,ENCLB231XXI,ENCSR193SZD,0.954246560294229
ENCFF664XVK,ENCLB155OHR,ENCSR575WYM,0.9152346944891167
ENCFF045VXR,ENCLB155OHR,ENCSR575WYM,0.9288158136823259
ENCFF300XVE,ENCLB155OHR,ENCSR575WYM,0.0005442028018528681
ENCFF996PRM,ENCLB155OHR,ENCSR575WYM,0.9199398118690381
ENCFF418ERL,ENCLB432WXI,ENCSR575WYM,0.910078837863534
ENCFF171MWH,ENCLB432WXI,ENCSR575WYM,0.9118801839940117
ENCFF356UCS,ENCLB644OJY,ENCSR232OFD,0.9360330856837836
ENCFF899QUC,ENCLB644OJY,ENCSR232OFD,0.6901766876781751
ENCFF264YSI,ENCLB727RRO,ENCSR232OFD,0.9227588898377135
ENCFF405NZO,ENCLB727RRO,ENCSR232OFD,0.9181063726107401
ENCFF807VCZ,ENCLB556YLF,ENCSR232OFD,0.920458957847346
ENCFF344CIH,ENCLB556YLF,ENCSR232OFD,0.921709115924103
ENCFF935XGB,ENCLB803ZCP,ENCSR984IUE,0.9274963115073998
ENCFF915AXB,ENCLB803ZCP,ENCSR984IUE,0.9305653839379646
ENCFF135ICN,ENCLB803ZCP,ENCSR984IUE,0.9271208258121801
ENCFF500ENF,ENCLB940IPT,ENCSR984IUE,0.9311659964216796
ENCFF098VVD,ENCLB940IPT,ENCSR984IUE,0.9283682440835576
ENCFF399QDR,ENCLB940IPT,ENCSR984IUE,0.9283067658825186
ENCFF942WPY,ENCLB940IPT,ENCSR984IUE,0.9299885029204094
ENCFF000ROA,ENCLB987DXY,ENCSR000DKR,0.9180407070999175
ENCFF000ROC,ENCLB271JKR,ENCSR000DKR,0.9301230788866135
ENCFF356FDX,ENCLB088CNW,ENCSR876UZD,0.9379128283638339
ENCFF030MGP,ENCLB720ZNQ,ENCSR876UZD,0.9397596238738479
ENCFF915BLC,ENCLB144PAB,ENCSR876UZD,0.9355250036091803
ENCFF471HPJ,ENCLB830TBV,ENCSR852BLA,-0.18532222064235643
ENCFF346UXE,ENCLB830TBV,ENCSR852BLA,-0.07526914783695418
ENCFF727BAT,ENCLB830TBV,ENCSR852BLA,-0.2854137187080004
ENCFF586KSM,ENCLB830TBV,ENCSR852BLA,0.7046230958011972
ENCFF850TFJ,ENCLB464OZE,ENCSR852BLA,0.335708700963422
ENCFF404KND,ENCLB464OZE,ENCSR852BLA,0.7686312304449168
ENCFF592DZQ,ENCLB464OZE,ENCSR852BLA,0.7041011770392547
ENCFF465RQK,ENCLB464OZE,ENCSR852BLA,-0.23967147804312708
ENCFF648TDW,ENCLB919TGA,ENCSR378KET,0.29269289890016903
ENCFF118PUQ,ENCLB919TGA,ENCSR378KET,0.9090355028474999
ENCFF421HRO,ENCLB017UIU,ENCSR378KET,0.9123156001795905
ENCFF135CGX,ENCLB017UIU,ENCSR378KET,0.911030429467826
ENCFF262NTK,ENCLB905FQX,ENCSR676LDQ,0.8999286035460675
ENCFF100VTB,ENCLB905FQX,ENCSR676LDQ,0.898129668225772
ENCFF890XCH,ENCLB905FQX,ENCSR676LDQ,0.9016225541443891
ENCFF086OKN,ENCLB107BVD,ENCSR676LDQ,0.90580278022266
ENCFF001HNG,ENCLB963PNN,ENCSR000DTW,0.9426603578869728
ENCFF001HMV,ENCLB504ZNX,ENCSR000DTW,0.9487934604146218
ENCFF001HWU,ENCLB662ZQJ,ENCSR000DXD,0.9494891262391488
ENCFF001HWL,ENCLB422LJT,ENCSR000DXD,0.9326733545777904
ENCFF744MMY,ENCLB784SIJ,ENCSR680WMF,0.8852998177747846
ENCFF359PVW,ENCLB784SIJ,ENCSR680WMF,0.8825414938878172
ENCFF312JAQ,ENCLB784SIJ,ENCSR680WMF,0.8819547808762138
ENCFF881EEK,ENCLB446KLT,ENCSR680WMF,0.8850921453847774
ENCFF762ZFU,ENCLB446KLT,ENCSR680WMF,0.8831739712065778
ENCFF000RYN,ENCLB013JSV,ENCSR000DMH,0.9000100550553561
ENCFF000RYL,ENCLB086PQG,ENCSR000DMH,0.8880782435563318
ENCFF528HSP,ENCLB875LST,ENCSR466TNQ,0.9286136385601101
ENCFF828YQM,ENCLB875LST,ENCSR466TNQ,0.9238261072689373
ENCFF697FIF,ENCLB875LST,ENCSR466TNQ,0.9239571741105923
ENCFF243VFT,ENCLB787MRS,ENCSR466TNQ,0.7380021954271351
ENCFF010DRY,ENCLB787MRS,ENCSR466TNQ,0.9262363212881451
ENCFF692RFJ,ENCLB787MRS,ENCSR466TNQ,0.9307885714436472
ENCFF000MYJ,ENCLB559JZH,ENCSR000BHW,0.9485488931456223
ENCFF000ONR,ENCLB559JKV,ENCSR000BNH,0.9651346096565785
ENCFF000OOF,ENCLB559JKU,ENCSR000BNH,0.8345158034368038
ENCFF980XBB,ENCLB145QXI,ENCSR343RJH,0.9186885490386051
ENCFF230TYN,ENCLB145QXI,ENCSR343RJH,0.9197234063370744
ENCFF286MVJ,ENCLB145QXI,ENCSR343RJH,0.9171128527235567
ENCFF686LFV,ENCLB145QXI,ENCSR343RJH,0.9175056622154386
ENCFF565WPN,ENCLB585DLF,ENCSR343RJH,0.9095430745089564
ENCFF373LXJ,ENCLB585DLF,ENCSR343RJH,0.910942261258955
ENCFF466CIQ,ENCLB585DLF,ENCSR343RJH,0.9089425782359056
ENCFF790TTQ,ENCLB585DLF,ENCSR343RJH,0.9089241061387939
ENCFF447YZD,ENCLB562QJE,ENCSR343RJH,0.9198573346794379
ENCFF907YPT,ENCLB562QJE,ENCSR343RJH,0.9135933294210158
ENCFF507DQN,ENCLB562QJE,ENCSR343RJH,0.9135023842706896
ENCFF652BKB,ENCLB957YPG,ENCSR343RJH,0.92630641144419
ENCFF612JME,ENCLB957YPG,ENCSR343RJH,0.1735685259658568
ENCFF415MHW,ENCLB957YPG,ENCSR343RJH,0.9136632180923299
ENCFF925GRX,ENCLB957YPG,ENCSR343RJH,0.9067739571535065
ENCFF000RUJ,ENCLB509TSV,ENCSR000DLS,0.912680125400333
ENCFF000RUI,ENCLB386GPQ,ENCSR000DLS,0.8872623703146097
ENCFF001HCC,ENCLB963KYV,ENCSR000DRB,0.9517516918346992
ENCFF001HBV,ENCLB887FIG,ENCSR000DRB,0.9378553997988882
ENCFF422FEZ,ENCLB300QQQ,ENCSR684PGO,0.9227796189436964
ENCFF642XZR,ENCLB300QQQ,ENCSR684PGO,0.9287625744521905
ENCFF407ARY,ENCLB921IMZ,ENCSR684PGO,0.922673381289853
ENCFF921XAB,ENCLB921IMZ,ENCSR684PGO,0.9233777004552853
ENCFF001HTP,ENCLB637AIR,ENCSR000DWE,0.9466605673082845
ENCFF001HTO,ENCLB160TGW,ENCSR000DWE,0.9351672051762705
ENCFF001HQZ,ENCLB851JWD,ENCSR000DVA,0.9450969441994284
ENCFF001HRA,ENCLB977MXL,ENCSR000DVA,0.9463209445032275
ENCFF792WPD,ENCLB990PPD,ENCSR211AFA,0.9028225527629405
ENCFF061RZK,ENCLB990PPD,ENCSR211AFA,0.905302128240628
ENCFF239TSY,ENCLB990PPD,ENCSR211AFA,0.9048621760311936
ENCFF039EBN,ENCLB990PPD,ENCSR211AFA,0.9049031687897873
ENCFF968WGL,ENCLB800YNM,ENCSR211AFA,0.9033254856039492
ENCFF969SWJ,ENCLB800YNM,ENCSR211AFA,0.9036986783770556
ENCFF604ERM,ENCLB500FGN,ENCSR756URL,0.9476577772374092
ENCFF442EWW,ENCLB500FGN,ENCSR756URL,0.9457881757768306
ENCFF735URH,ENCLB714ISJ,ENCSR756URL,0.9462400930060183
ENCFF972JNT,ENCLB714ISJ,ENCSR756URL,0.9459927827815752
ENCFF579BBU,ENCLB450KML,ENCSR611HGB,0.92067524189198
ENCFF717DRR,ENCLB450KML,ENCSR611HGB,0.9233132974946038
ENCFF307IXQ,ENCLB450KML,ENCSR611HGB,0.9242253627742103
ENCFF938PHN,ENCLB450KML,ENCSR611HGB,0.9234833587409603
ENCFF967DUU,ENCLB005KKW,ENCSR611HGB,0.9212303640424443
ENCFF950UAU,ENCLB005KKW,ENCSR611HGB,0.918900656583627
ENCFF722TRV,ENCLB005KKW,ENCSR611HGB,0.9207812478978098
ENCFF462EAR,ENCLB005KKW,ENCSR611HGB,0.9209396893543969
ENCFF675IQI,ENCLB755CET,ENCSR463XCZ,0.9229133348070171
ENCFF338XKC,ENCLB755CET,ENCSR463XCZ,0.9220261139019956
ENCFF367WOE,ENCLB780WGF,ENCSR463XCZ,0.9244293021589389
ENCFF891YCE,ENCLB400ZUJ,ENCSR705DNM,0.922614628382665
ENCFF221PZN,ENCLB400ZUJ,ENCSR705DNM,0.9199850864042666
ENCFF262WTB,ENCLB400ZUJ,ENCSR705DNM,0.9208813596026184
ENCFF712VNU,ENCLB400ZUJ,ENCSR705DNM,0.923556530028033
ENCFF853BKS,ENCLB522OOE,ENCSR705DNM,0.9108765474103268
ENCFF311ANX,ENCLB622UEX,ENCSR705DNM,0.9328689489885315
ENCFF045VTQ,ENCLB622UEX,ENCSR705DNM,0.9313864119456396
ENCFF083GZK,ENCLB622UEX,ENCSR705DNM,0.9302965083437472
ENCFF119RPB,ENCLB622UEX,ENCSR705DNM,0.934081229122137
ENCFF905QDE,ENCLB469TFP,ENCSR355PMV,0.7299944585896425
ENCFF535BYA,ENCLB469TFP,ENCSR355PMV,0.9467090514286606
ENCFF046OFO,ENCLB469TFP,ENCSR355PMV,0.9445215451436927
ENCFF312EPF,ENCLB232PXP,ENCSR355PMV,0.9349396546569924
ENCFF263ZZF,ENCLB232PXP,ENCSR355PMV,0.9355461246580906
ENCFF754KJE,ENCLB232PXP,ENCSR355PMV,0.9391525085716332
ENCFF000CFV,ENCLB695AFV,ENCSR000AOO,0.9174186048467069
ENCFF000CFW,ENCLB695AFW,ENCSR000AOO,0.943308145467824
ENCFF000RRR,ENCLB067PGA,ENCSR000DLG,0.9394647239368757
ENCFF000RRS,ENCLB677PYM,ENCSR000DLG,0.9446395361745192
ENCFF512KCI,ENCLB776PLP,ENCSR967BSF,0.8995170468353398
ENCFF696MBJ,ENCLB776PLP,ENCSR967BSF,0.8921329085697985
ENCFF458IFM,ENCLB612PXJ,ENCSR967BSF,0.7240737324697415
ENCFF948KDP,ENCLB612PXJ,ENCSR967BSF,0.7734652265091478
ENCFF905EFM,ENCLB612PXJ,ENCSR967BSF,0.8030324253891014
ENCFF420VKZ,ENCLB947VVT,ENCSR967BSF,0.9141878303134063
ENCFF068TWU,ENCLB947VVT,ENCSR967BSF,0.9142465863810567
ENCFF514GOP,ENCLB947VVT,ENCSR967BSF,0.9202658757251575
ENCFF940BVB,ENCLB947VVT,ENCSR967BSF,0.9125341965733088
ENCFF080EUV,ENCLB248QLQ,ENCSR094PSL,0.9173961775978761
ENCFF018YQF,ENCLB248QLQ,ENCSR094PSL,0.9160287096287454
ENCFF954PVT,ENCLB248QLQ,ENCSR094PSL,0.9169738484784449
ENCFF062OKA,ENCLB002OCB,ENCSR094PSL,0.9167959984486472
ENCFF681LAM,ENCLB002OCB,ENCSR094PSL,0.9161517656307754
ENCFF523MRI,ENCLB002OCB,ENCSR094PSL,0.9165187313374537
ENCFF848HLR,ENCLB002OCB,ENCSR094PSL,0.9151401250647736
ENCFF576KWW,ENCLB414UFR,ENCSR369RRE,0.8961911207923602
ENCFF922WTS,ENCLB414UFR,ENCSR369RRE,0.896797023169688
ENCFF648DXS,ENCLB414UFR,ENCSR369RRE,0.898989129568864
ENCFF856ULN,ENCLB414UFR,ENCSR369RRE,0.9006985052642936
ENCFF252JED,ENCLB152SYF,ENCSR369RRE,0.900694003757784
ENCFF821NTR,ENCLB152SYF,ENCSR369RRE,0.9006914972958282
ENCFF218GYV,ENCLB152SYF,ENCSR369RRE,0.9022244609579618
ENCFF803KJT,ENCLB152SYF,ENCSR369RRE,0.9020684563873324
ENCFF001HJH,ENCLB337OOQ,ENCSR000DSU,0.9385895564607946
ENCFF001HJI,ENCLB386TSZ,ENCSR000DSU,0.9319341471399443
ENCFF817NLG,ENCLB855SQL,ENCSR164ASX,0.9311890033842334
ENCFF606GNW,ENCLB855SQL,ENCSR164ASX,0.9316199845239588
ENCFF827WWZ,ENCLB458ESB,ENCSR164ASX,0.921814775942131
ENCFF949VBH,ENCLB458ESB,ENCSR164ASX,0.9253029056972136
ENCFF144JAM,ENCLB458ESB,ENCSR164ASX,0.9243164038790569
ENCFF723DDC,ENCLB502UUI,ENCSR666JEF,0.7274498572666139
ENCFF199ZII,ENCLB502UUI,ENCSR666JEF,0.7588851988679828
ENCFF517BBS,ENCLB502UUI,ENCSR666JEF,0.621516138242498
ENCFF189IMW,ENCLB502UUI,ENCSR666JEF,0.6975331659038929
ENCFF000RXX,ENCLB889CJU,ENCSR000DMF,0.9213613913327156
ENCFF000RYB,ENCLB842YXB,ENCSR000DMF,0.9260059821838421
ENCFF001HIV,ENCLB638QKU,ENCSR000DSZ,0.9291777502083318
ENCFF001HJE,ENCLB555CIC,ENCSR000DSZ,0.9088341385694689
ENCFF001GYP,ENCLB122IIC,ENCSR000DPV,0.8826568001880954
ENCFF001GYQ,ENCLB117QMX,ENCSR000DPV,0.9135278323536482
ENCFF002ACW,ENCLB881BYS,ENCSR125DKL,0.9524411280947066
ENCFF217DNX,ENCLB536NOC,ENCSR847OSL,0.8948855349495485
ENCFF697MNU,ENCLB536NOC,ENCSR847OSL,0.8932190463005819
ENCFF493ARL,ENCLB318ETY,ENCSR847OSL,0.8897756506719692
ENCFF728XEF,ENCLB318ETY,ENCSR847OSL,0.8908918988003451
ENCFF920BFB,ENCLB318ETY,ENCSR847OSL,0.8903804516313689
ENCFF443TSR,ENCLB773XVE,ENCSR107GWZ,0.16117064320550534
ENCFF580PGM,ENCLB773XVE,ENCSR107GWZ,0.16130598061984858
ENCFF509AJD,ENCLB773XVE,ENCSR107GWZ,0.15684612543789803
ENCFF205PRY,ENCLB773XVE,ENCSR107GWZ,0.16122698809911637
ENCFF171NZD,ENCLB848VBL,ENCSR107GWZ,0.16267399417520745
ENCFF532MZL,ENCLB848VBL,ENCSR107GWZ,0.1594932590910093
ENCFF001HNT,ENCLB045XWU,ENCSR000DUG,0.9325330316704995
ENCFF001HNU,ENCLB697GFU,ENCSR000DUG,0.9623016461923268
ENCFF000SDG,ENCLB138KOL,ENCSR000DND,0.9490198021717843
ENCFF000SDQ,ENCLB967UKM,ENCSR000DND,0.9352364344358545
ENCFF001HRL,ENCLB538WRF,ENCSR000DVH,0.9530649953870726
ENCFF119WTV,ENCLB039DUD,ENCSR408ZEE,-0.3947574433353903
ENCFF420ACV,ENCLB035IAJ,ENCSR408ZEE,-0.06960369550583224
ENCFF781OMB,ENCLB035IAJ,ENCSR408ZEE,-0.02678898691102932
ENCFF681LQF,ENCLB227QDO,ENCSR954MUZ,0.14717072267202244
ENCFF286YSA,ENCLB227QDO,ENCSR954MUZ,0.14210777791812146
ENCFF815OMC,ENCLB353BZE,ENCSR954MUZ,0.14779529958440984
ENCFF199GYT,ENCLB353BZE,ENCSR954MUZ,0.1424813281866402
ENCFF000RNB,ENCLB605WML,ENCSR000DKN,0.9534229245003947
ENCFF020MGY,ENCLB963GPC,ENCSR089NBS,0.9325483955446027
ENCFF940ZZX,ENCLB963GPC,ENCSR089NBS,0.9322569260768339
ENCFF652KKJ,ENCLB963GPC,ENCSR089NBS,0.9323194508284289
ENCFF518VBO,ENCLB963GPC,ENCSR089NBS,0.9358008314302403
ENCFF727FYJ,ENCLB348JST,ENCSR089NBS,0.934040302217511
ENCFF387XGA,ENCLB348JST,ENCSR089NBS,0.9299963422083061
ENCFF533XQF,ENCLB348JST,ENCSR089NBS,0.9290717548911969
ENCFF399OXY,ENCLB200LVJ,ENCSR778ZPK,0.9384084512546845
ENCFF863BWR,ENCLB200LVJ,ENCSR778ZPK,0.9350825244205455
ENCFF681YPZ,ENCLB200LVJ,ENCSR778ZPK,0.937047745316772
ENCFF911VTL,ENCLB200LVJ,ENCSR778ZPK,0.9397914937078053
ENCFF690YAT,ENCLB113UJK,ENCSR778ZPK,0.9396638559910434
ENCFF738RAG,ENCLB113UJK,ENCSR778ZPK,0.9422268278139746
ENCFF393BZI,ENCLB113UJK,ENCSR778ZPK,0.9392202280881263
ENCFF994XEJ,ENCLB113UJK,ENCSR778ZPK,0.9392337421963473
ENCFF998EIR,ENCLB809QWR,ENCSR291YNH,0.9394284258980026
ENCFF056SZR,ENCLB809QWR,ENCSR291YNH,0.9374883410733421
ENCFF774ACP,ENCLB809QWR,ENCSR291YNH,0.9407093824380489
ENCFF254IOZ,ENCLB809QWR,ENCSR291YNH,0.9403774047544944
ENCFF505LCS,ENCLB565WMV,ENCSR291YNH,0.944768564395408
ENCFF426PQB,ENCLB565WMV,ENCSR291YNH,0.943651757355319
ENCFF000CCY,ENCLB695AAA,ENCSR000ATN,0.9326429582229433
ENCFF033PDS,ENCLB357MRH,ENCSR568IVD,0.943620938053821
ENCFF520UIS,ENCLB896TDF,ENCSR568IVD,0.9424330229133352
ENCFF648MLH,ENCLB896TDF,ENCSR568IVD,0.9454112348143084
ENCFF861WPS,ENCLB065DVC,ENCSR857RJQ,0.9405772443738144
ENCFF056JNV,ENCLB065DVC,ENCSR857RJQ,0.9385055997720118
ENCFF682AOT,ENCLB872PQX,ENCSR857RJQ,0.9446099899682726
ENCFF608GCT,ENCLB872PQX,ENCSR857RJQ,0.9420315482801485
ENCFF694IKR,ENCLB601KYC,ENCSR901NIN,0.9352486758166484
ENCFF198MCV,ENCLB601KYC,ENCSR901NIN,0.9384287721331569
ENCFF335TJR,ENCLB601KYC,ENCSR901NIN,0.9406708827445942
ENCFF274PTS,ENCLB601KYC,ENCSR901NIN,0.936520645473819
ENCFF246NHV,ENCLB449AKL,ENCSR901NIN,0.9310624720824939
ENCFF545ZWU,ENCLB449AKL,ENCSR901NIN,0.9310193339422203
ENCFF455EUA,ENCLB449AKL,ENCSR901NIN,0.33531190429257424
ENCFF903FRH,ENCLB449AKL,ENCSR901NIN,0.2504599196874144
ENCFF000SAK,ENCLB454HYZ,ENCSR000DMO,0.16918544237177724
ENCFF000SAL,ENCLB104XBK,ENCSR000DMO,0.039768961122437614
ENCFF001HFU,ENCLB024MKR,ENCSR000DRN,0.9541480017331333
ENCFF001HFQ,ENCLB364AJF,ENCSR000DRN,0.9361394560118671
ENCFF001HPM,ENCLB269VXN,ENCSR000DUS,0.934205460342889
